쿠폰ID,브랜드,카테고리,쿠폰명,할인종류,혜택수치,유효기간,온오프라인구분,사용장소,사용조건,금액분할가능여부,바코드유무
CP-001,스타벅스,카페/디저트,[스타벅스] 아메리카노 교환권,정액,4500,2026-06-30,오프라인,전국 매장 및 사이렌오더,없음,N,Y
CP-002,투썸플레이스,카페/디저트,[투썸플레이스] 제조음료 1+1 쿠폰,정률,50,2026-08-31,오프라인,전국 매장 및 사이렌오더,동일 음료 주문 시,N,Y
CP-003,이디야커피,카페/디저트,[이디야커피] 사이렌오더 1천원 할인,정액,1000,2026-09-30,온라인,스타벅스 앱 전용,5000원 이상 결제 시,N,N
CP-004,메가커피,카페/디저트,[메가커피] MD 상품 10% 할인권,정률,10,2026-07-31,오프라인,전국 매장(일부 특수매장 제외),텀블러 및 머그 구매 시,N,Y
CP-005,공차,카페/디저트,[공차] 모바일 기프트카드 3만원권,정액,30000,2026-05-31,온라인,전국 매장 및 공식 앱,없음,Y,Y
CP-006,나이키,패션/의류,[나이키] 아웃렛 매장 추가 10% 쿠폰,정률,10,2027-05-19,온오프라인,전국 팩토리 아웃렛,아웃렛 할인가에 추가 적용,N,Y
CP-007,아디다스,패션/의류,[아디다스] 현대카드 결제 3천원 중복권,정액,3000,2026-11-30,온오프라인,주문서 결제창,현대카드로 5만원 이상 결제 시,N,N
CP-008,무신사,패션/의류,[무신사] 모바일 앱 신규 3천원 쿠폰,정액,3000,2026-12-31,온오프라인,전국 매장 및 온라인 스토어,3만원 이상 구매 시 사용 가능,N,Y
CP-009,유니클로,패션/의류,[유니클로] 공식몰 가입 환영 쿠폰,정률,10,2026-06-30,온라인,공식 온라인 스토어,첫 구매 회원 한정,N,N
CP-010,ZARA,패션/의류,[ZARA] 생일 축하 2만원 할인권,정액,20000,2026-08-31,온오프라인,공식몰 및 오프라인 직영점,10만원 이상 구매 시,N,Y
CP-011,올리브영,뷰티/건강,[올리브영] 기프트카드 5만원 충전권,정액,50000,2026-09-30,온오프라인,전국 매장 및 온라인몰,없음,Y,Y
CP-012,다이소,리빙/마트,[다이소] 마트 직송 8천원 할인쿠폰,정액,8000,2026-07-31,온라인,온라인몰,8만원 이상 주문 시 사용 가능,N,N
CP-013,이마트,리빙/마트,[이마트] CAFE25 아메리카노 반값,정률,50,2026-05-31,오프라인,전국 편의점 매장,자체 원두커피 HOT/ICE,N,Y
CP-014,홈플러스,리빙/마트,[홈플러스] 모바일 금액상품권 1만원권,정액,10000,2027-05-19,오프라인,전국 편의점 매장,서비스 품목(담배/택배 등) 제외,Y,Y
CP-015,GS25,리빙/마트,[GS25] 연세우유 크림빵 500원 할인,정액,500,2026-11-30,오프라인,전국 편의점 매장,연세우유 디저트 시리즈 전체,N,Y
CP-016,CU,리빙/마트,[CU] 수입맥주 골라담기 2천원권,정액,2000,2026-12-31,오프라인,전국 마트 매장,수입맥주 4캔 이상 구매 시,N,Y
CP-017,배달의민족,푸드/배달,[배달의민족] 가게배달 중복 15% 쿠폰,정률,15,2026-06-30,온라인,모바일 배달 앱,해당 쿠폰 마크 부착 매장 주문 시,N,N
CP-018,요기요,푸드/배달,[요기요] 배달 전용 무료배송 티켓,정액,3000,2026-08-31,온라인,모바일 배달 앱,배달 서비스 이용 시 배달비 면제,N,N
CP-019,쿠팡이츠,푸드/배달,[쿠팡이츠] 포장 주문 전용 1천원 쿠폰,정액,1000,2026-09-30,온라인,모바일 배달 앱,포장/방문 주행 매장 1만2천원 이상,N,N
CP-020,BBQ,푸드/배달,[BBQ] 첫 주문 총 2만원 패키지권,정액,5000,2026-07-31,온라인,모바일 배달 앱,신규 가입 즉시 지급되는 1차 쿠폰,N,N
CP-021,BHC,푸드/배달,[BHC] 황금올리브치킨 2천원 할인,정액,2000,2026-05-31,온라인,공식 앱 및 매장전화,황금올리브 치킨 한정 적용,N,Y
CP-022,도미노피자,푸드/배달,[도미노피자] 사이드메뉴 무료증정 쿠폰,정액,5000,2027-05-19,온라인,공식 앱 및 매장 주문,치킨 메인 메뉴 1마리 이상 주문 시,N,Y
CP-023,CGV,문화/여가,[CGV] 기프트샵 5천원 기념품 쿠폰,정액,5000,2026-11-30,오프라인,원내 상품점,3만원 이상 기념품 구매 시,N,Y
CP-024,롯데시네마,문화/여가,[롯데시네마] 평일 주중 영화 35% 할인,정률,35,2026-12-31,온라인,모바일 앱 예매,월~목 상영 영화 예매 시 사용,N,N
CP-025,메가박스,문화/여가,[메가박스] 일반 영화 3천원 할인권,정액,3000,2026-06-30,온라인,상영관 앱 및 현장 무인발권기,2D 일반 영화 좌석 대상,N,Y
CP-026,에버랜드,문화/여가,[에버랜드] 특별관 4천원 할인권,정액,4000,2026-08-31,온라인,모바일 앱 예매,IMAX/돌비 등 특별 상영관 예매 시,N,N
CP-027,롯데월드,문화/여가,[롯데월드] 매점 팝콘(L) 2천원 할인권,정액,2000,2026-09-30,온오프라인,매점 및 패스트오더,팝콘 라지 사이즈 단품 구매 시,N,Y
CP-028,교보문고,도서/교육,[교보문고] 문구 10% 할인권,정률,10,2026-07-31,오프라인,매장 내 문구 코너,필기구 및 디자인 문구 1만원 이상,N,Y
CP-029,예스24,도서/교육,[예스24] 도서 무료 배송 티켓,정액,2500,2026-05-31,온라인,온라인 공식 몰,도서 정가제 적용 1만원 이상 구매,N,N
CP-030,알라딘,도서/교육,[알라딘] 중고서점 오프라인 3천원권,정액,3000,2027-05-19,오프라인,오프라인 중고매장,중고도서 2만원 이상 구매 시,N,Y
